0 0.768912 0.83  0.109764 0.768912
0.0628319 0.768513 0.76  0.114708 0.765881
0.125664 0.767308 0.82  0.110432 0.756834
0.188496 0.765278 0.85  0.108465 0.741915
0.251327 0.762386 0.73  0.117041 0.721358
0.314159 0.758584 0.68  0.121268 0.695488
0.376991 0.753802 0.7  0.119523 0.664713
0.439823 0.747951 0.73  0.117041 0.629518
0.502655 0.740914 0.66  0.123091 0.590458
0.565487 0.732547 0.74  0.116248 0.54815
0.628319 0.722663 0.74  0.116248 0.50326
0.69115 0.711028 0.7  0.119523 0.456496
0.753982 0.697342 0.69  0.120386 0.408596
0.816814 0.681219 0.66  0.123091 0.360316
0.879646 0.662158 0.67  0.122169 0.312416
0.942478 0.639502 0.62  0.127 0.265653
1.00531 0.612371 0.58  0.131306 0.220763
1.06814 0.579574 0.56  0.133631 0.178454
1.13097 0.539469 0.58  0.131306 0.139395
1.19381 0.489765 0.51  0.140028 0.1042
1.25664 0.427258 0.45  0.149071 0.0734246
1.31947 0.347618 0.41  0.156174 0.0475547
1.3823 0.246013 0.26  0.196116 0.0269979
1.44513 0.122869 0.12  0.288675 0.0120784
1.50796 0.0152222 0.01  1 0.00303155
